Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.07     0.00    60006     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.07     0.00    40004     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      0.07     0.00    30008     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.07     0.00    30008     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.07     0.00    30008     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.07     0.00    30008     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.07     0.00    30008     0.00     0.00  bool std::operator==<int, int&, int*>(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.07     0.00    30003     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      0.07     0.00    30003     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      0.07     0.00    30003     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.00      0.07     0.00    30003     0.00     0.00  std::_List_node<int>::_M_valptr()
  0.00      0.07     0.00    30003     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.07     0.00    30003     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.07     0.00    30003     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.07     0.00    30003     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.07     0.00    30003     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      0.07     0.00    30003     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.07     0.00    30003     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
  0.00      0.07     0.00    30003     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      0.07     0.00    30003     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.07     0.00    30003     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >>(std::vector<int, std::allocator<int> >*)
  0.00      0.07     0.00    30003     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.07     0.00    30003     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.07     0.00    30003     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*)
  0.00      0.07     0.00    20018     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.07     0.00    20010     0.00     0.00  std::deque<int, std::allocator<int> >::end()
  0.00      0.07     0.00    20004     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.00      0.07     0.00    20004     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::empty() const
  0.00      0.07     0.00    20002     0.00     0.00  void __gnu_cxx::new_allocator<int>::destroy<int>(int*)
  0.00      0.07     0.00    20002     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator--()
  0.00      0.07     0.00    20002     0.00     0.00  void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*)
